기간	자치구	동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2020.3/4	용산구	서빙고동	5,307	14,029	6,767	7,262	13,248	6,360	6,888	781	407	374	2.4963256	2,115
2020.3/4	용산구	보광동	7,781	15,805	8,118	7,687	14,283	7,084	7,199	1,522	1,034	488	1.8356252	2,794
2020.3/4	용산구	청파동	11,097	20,580	9,571	11,009	19,889	9,326	10,563	691	245	446	1.7922862	3,387
2020.3/4	용산구	원효로1동	7,971	16,722	8,069	8,653	16,072	7,729	8,343	650	340	310	2.0163091	2,006
2020.3/4	용산구	한강로동	10,407	20,910	10,164	10,746	19,271	9,294	9,977	1,639	870	769	1.8517344	3,197
2020.3/4	용산구	한남동	11,417	23,969	11,777	12,192	21,290	10,255	11,035	2,679	1,522	1,157	1.8647631	3,794
2020.3/4	성동구	소계	136,096	302,695	147,582	155,113	295,591	144,444	151,147	7,104	3,138	3,966	2.1719301	45,372
2020.3/4	성동구	왕십리2동	7,629	17,555	8,539	9,016	17,188	8,369	8,819	367	170	197	2.2529820	2,615
2020.3/4	성동구	마장동	10,918	23,583	11,565	12,018	22,940	11,324	11,616	643	241	402	2.1011174	3,804
2020.3/4	성동구	사근동	7,787	13,423	6,680	6,743	11,948	6,120	5,828	1,475	560	915	1.5343521	1,495
2020.3/4	성동구	행당1동	6,519	14,545	6,998	7,547	14,243	6,868	7,375	302	130	172	2.1848443	2,110
2020.3/4	성동구	행당2동	9,485	24,273	11,400	12,873	24,184	11,364	12,820	89	36	53	2.5497101	3,747
2020.3/4	성동구	응봉동	6,143	15,875	7,508	8,367	15,809	7,485	8,324	66	23	43	2.5734983	2,527
2020.3/4	성동구	금호1가동	6,720	15,897	7,604	8,293	15,813	7,564	8,249	84	40	44	2.353125	2,539
2020.3/4	성동구	금호4가동	6,469	14,958	7,168	7,790	14,813	7,096	7,717	145	72	73	2.2898439	2,299
2020.3/4	성동구	성수1가1동	7,620	16,954	8,494	8,460	16,640	8,316	8,324	314	178	136	2.1837270	2,177
2020.3/4	성동구	성수1가2동	6,586	13,914	6,840	7,074	13,622	6,704	6,918	292	136	156	2.0683268	1,924
2020.3/4	성동구	성수2가1동	8,496	17,365	9,037	8,328	16,762	8,765	7,997	603	272	331	1.9729284	2,867
2020.3/4	성동구	성수2가3동	5,772	11,563	5,875	5,688	11,264	5,706	5,558	299	169	130	1.9514900	1,868
2020.3/4	성동구	송정동	5,573	11,254	5,943	5,311	10,805	5,709	5,096	449	234	215	1.9388121	1,735
2020.3/4	성동구	용답동	6,910	12,979	6,777	6,202	11,948	6,337	5,611	1,031	440	591	1.7290883	2,143
2020.3/4	성동구	왕십리도선동	12,023	27,786	13,226	14,560	27,270	13,004	14,266	516	222	294	2.2681527	3,693
2020.3/4	성동구	금호2.3가동	10,346	23,737	11,311	12,426	23,559	11,232	12,327	178	79	99	2.2771119	3,858
2020.3/4	성동구	옥수동	11,100	27,034	12,617	14,417	26,783	12,481	14,302	251	136	115	2.4128829	3,971
2020.3/4	광진구	소계	166,857	361,923	174,077	187,846	348,064	168,095	179,969	13,859	5,982	7,877	2.0860018	50,047
2020.3/4	광진구	화양동	16,799	25,276	11,597	13,679	22,452	10,632	11,820	2,824	965	1,859	1.3365081	2,294
2020.3/4	광진구	군자동	11,077	21,864	10,761	11,103	19,958	9,864	10,094	1,906	897	1,009	1.8017514	2,942
2020.3/4	광진구	중곡1동	8,186	16,127	7,866	8,261	15,694	7,674	8,020	433	192	241	1.9171757	2,458
2020.3/4	광진구	중곡2동	10,613	22,336	10,581	11,755	22,000	10,439	11,561	336	142	194	2.0729294	3,172
2020.3/4	광진구	중곡3동	8,570	17,041	8,435	8,606	16,812	8,353	8,459	229	82	147	1.9617270	2,807
2020.3/4	광진구	중곡4동	13,268	30,102	14,702	15,400	29,671	14,530	15,141	431	172	259	2.2362828	4,947
2020.3/4	광진구	능동	6,495	11,923	5,501	6,422	11,600	5,338	6,262	323	163	160	1.7859892	1,602
2020.3/4	광진구	구의1동	12,123	22,863	10,912	11,951	22,152	10,582	11,570	711	330	381	1.8272705	3,062
2020.3/4	광진구	구의2동	11,680	27,543	13,215	14,328	27,071	13,010	14,061	472	205	267	2.3177226	4,220
2020.3/4	광진구	구의3동	12,197	29,654	14,089	15,565	29,347	13,940	15,407	307	149	158	2.4060835	3,891
2020.3/4	광진구	광장동	12,099	35,869	17,313	18,556	35,685	17,232	18,453	184	81	103	2.9494173	3,690
2020.3/4	광진구	자양1동	11,784	23,876	11,472	12,404	22,898	11,030	11,868	978	442	536	1.9431432	3,355
2020.3/4	광진구	자양2동	11,240	26,330	12,815	13,515	25,934	12,628	13,306	396	187	209	2.3072954	3,877
2020.3/4	광진구	자양3동	11,168	29,074	13,983	15,091	28,805	13,865	14,940	269	118	151	2.5792443	4,024
2020.3/4	광진구	자양4동	9,558	22,045	10,835	11,210	17,985	8,978	9,007	4,060	1,857	2,203	1.8816698	3,706
2020.3/4	동대문구	소계	167,232	358,679	176,433	182,246	344,416	170,748	173,668	14,263	5,685	8,578	2.0595101	61,408
2020.3/4	동대문구	회기동	6,243	12,544	5,785	6,759	10,403	4,967	5,436	2,141	818	1,323	1.6663463	1,561
2020.3/4	동대문구	휘경1동	7,122	15,307	7,252	8,055	13,632	6,628	7,004	1,675	624	1,051	1.9140691	2,143
2020.3/4	동대문구	휘경2동	11,857	25,094	12,390	12,704	24,418	12,140	12,278	676	250	426	2.0593742	3,901
2020.3/4	동대문구	청량리동	10,435	21,324	10,636	10,688	20,738	10,359	10,379	586	277	309	1.9873503	5,365
